Net_struct,Net_setup,Sample,L,relative_err
Res,[32 32 32],"[0, 0, 0, 500]",9,0.00015605942
Res,[32 32 32],"[0, 0, 0, 500]",11,0.00011769599
Res,[32 32 32],"[0, 0, 0, 500]",13,0.00017582312
Res,[32 32 32],"[0, 0, 0, 500]",15,0.00012697483
Res,[32 32 32],"[0, 0, 0, 500]",17,0.00016701307
Res,[32 32 32],"[0, 0, 0, 500]",19,0.00016610012
Res,[32 32 32],"[0, 0, 0, 500]",21,0.00013972262
Res,[32 32 32],"[0, 0, 0, 500]",23,0.00014144061
Res,[32 32 32],"[0, 0, 0, 500]",25,0.00018927295
Res,[32 32 32],"[0, 0, 0, 500]",27,0.00021479456
Res,[32 32 32],"[0, 0, 0, 500]",29,0.00017951117
